ID;iata;icao;airportDescription;location;country
a1236b2a-d841-45a6-a987-75056fa710eb;ALU;HCMA;Alula;Alula;Somalia
fe114fe1-86f5-4594-a942-99564ab39c4f;ALW;KALW;Walla Walla Regional Airport;Walla Walla, Washington;USA
f3c32439-1a6b-422e-a205-8395f8e3c7ba;ALY;HEAX;Alexandria Intl Airport;Alexandria;Egypt
e1566558-b827-410f-b58b-257a74e563e4;AMA;KAMA;Rick Husband Amarillo Intl Airport;Amarillo, Texas;USA
d93c51d2-b1cf-4edb-ada3-35e7f7847911;AMB;FMNE;Ambilobe;Ambilobe;Madagascar
d476ffc1-f83b-4a0d-b2b1-7907814bc6d2;AMC;FTTN;Am-Timan;Am-Timan;Chad
d7ff1eeb-0e53-4841-b2c5-211a8dea9755;AMD;VAAH;Sardar Vallabhbhai Patel Intl Airport;Ahmedabad (Gujarat);India
aae8d3f1-4cd9-4cf5-af95-aa7e386fc89f;AMH;HAAM;Arba Minch;Arba Minch;Ethiopia
097fb5e9-ec52-4b91-922f-04c45e28ea60;AMI;WRRA;Selaparang Airport;Mataram, West Nusa Tenggara;Indonesia
c3c3e2d0-c0f5-4a9a-a2d9-572319b068c9;AMM;OJAI;Queen Alia Intl;Amman;Jordan
2a130030-9362-45d7-afe8-aa418033b93d;AMO;FTTU;Mao;Mao;Chad
db0b15f3-2916-4fb9-a4e3-4a4cc099142d;AMP;FMSY;Ampanihy;Ampanihy;Madagascar
dc27adca-95d4-48ce-9f19-08d8baa60839;AMQ;WAPP;Pattimura Airport;Ambon, Maluku;Indonesia
2116dfa4-102a-4f06-a64f-f90d1fb52353;AMS;EHAM;Amsterdam Schiphol Airport;Amsterdam;Netherlands
5fa0097e-7125-45bf-866a-134e0192cd69;AMV;ULDD;Amderma Airport;Amderma;Russia
4c31b3db-b717-49ea-bf13-9f5755021653;ANC;PANC;Ted Stevens Anchorage Intl Airport;Anchorage, Alaska;USA
0fc53a1d-f3b2-4451-82f5-2970090793ab;ANE;LFJR;Angers Loire Aeroport Airport;Angers;France
6cda948d-2690-469f-a183-8343dc491f54;ANF;SCFA;Cerro Moreno Intl;Antofagasta;Chile
9c5ec603-a0ba-4276-a8a5-d7afb74d1d34;ANG;LFBU;Angouleme - Brie Champniers Airport;Angouleme;France
c5c5323c-f21c-473a-b05e-c8c3f9c323e2;ANI;PANI;Aniak Airport;Aniak, Alaska;USA
f201598c-165c-4096-b03e-f8bb8b6a819c;ANJ;FCBZ;Zanaga;Zanaga;Congo, Republic of
21bcac76-f0bc-4760-ba1d-ea8c487ae6ef;ANM;FMNH;Antsirabato;Antalaha;Madagascar
71e7e019-b9fb-4ec0-9342-6077da4d2c18;ANO;FQAG;Angoche;Angoche;Mozambique
d32f7195-4aef-4c89-b21a-b6fc86d76d24;ANR;EBAW;Deurne Airport;Antwerp;Belgium
a04a11bf-1076-4b7d-a230-3552715676b1;ANS;SPHY;Andahuaylas;Andahuaylas;Peru
8136aa1a-dcf0-41d2-942b-e2ebcb707b84;ANU;TAPA;VC Bird Intl Airport;Saint John's, Antigua;Antigua and Barbuda
ac490368-6023-452e-a052-b4dc435af97e;ANX;ENAN;Andoya Airport;Andenes;Norway
22be3138-8fd5-41ee-adf6-c316d1c9e187;AOC;EDAC;Altenburg-Nobitz;Nobitz;Germany
41b35e07-cfb9-45e9-91f2-30597617d691;AOE;LTBY;Eskisehir Anadolu Airport;Eskisehir;Turkey
0710912b-93fd-4f9f-aea4-a3f3b6608c34;AOG;ZYAS;Anshan Airport;Anshan;China - Peoples Republic
344a5103-1321-405f-b332-6931ff768dec;AOI;LIPY;Ancona Falconara Airport (Raffaello Sanzio Airport);Ancona;Italy
8990dcb5-db21-406e-84ef-b0408540f5bf;AOJ;RJSA;Aomori Airport;Aomori;Japan
1bc83f66-6a62-44f1-8f00-8084acd01900;AOK;LGKP;Karpathos Island National Airport;Karpathos;Greece
