ID;iata;icao;airportDescription;location;country
3c753248-5bce-4083-b977-d581a549f40b;RDD;KRDD;Redding Municipal Airport;Redding, California;USA
9ef3b217-b61d-425a-a1c3-0ae3d766d259;RDG;KRDG;Reading Regional Airport (Carl A. Spaatz Field);Reading, Pennsylvania;USA
9687e83e-68f2-4309-ac5a-06f2d636a3d7;RDM;KRDM;Redmond Municipal Airport (Roberts Field);Redmond, Oregon;USA
dd00fb11-2640-44c4-b66b-3812def74a84;RDU;KRDU;Raleigh-Durham Intl Airport;Raleigh, North Carolina;USA
888c52e8-d2a8-4869-83ce-a9be16da72c5;RHI;KRHI;Rhinelander-Oneida County Airport;Rhinelander, Wisconsin;USA
f7b27047-fee9-4abf-a3fa-6d361053fc37;RIC;KRIC;Richmond Intl Airport;Richmond, Virginia;USA
4516bbd5-5ed2-4172-a7f5-d81221dafd09;RIW;KRIW;Riverton Regional Airport;Riverton, Wyoming;USA
214cf375-ce02-4286-9d11-84c5b1dd3fc7;RKD;KRKD;Knox County Regional Airport;Rockland, Maine;USA
7d9f2b67-10c6-40f7-ab3a-4030f713d9ed;RNO;KRNO;Reno/Tahoe Intl Airport;Reno, Nevada;USA
a2d63a04-30a1-4496-943a-f8cc13b75f16;ROA;KROA;Roanoke Regional Airport (Woodrum Field);Roanoke, Virginia;USA
320051bd-4ddd-4f26-be39-2f8dc925639b;ROC;KROC;Greater Rochester Intl Airport;Rochester, New York;USA
631fb17a-6d91-4b66-9540-42a28874987a;RST;KRST;Rochester Intl Airport;Rochester, Minnesota;USA
565380f7-42ad-4248-936e-9f3750975916;RSW;KRSW;Southwest Florida Intl Airport;Fort Myers, Florida;USA
e4f1e5fa-623e-4764-84ac-9f950ca5a81f;SAF;KSAF;Santa Fe Municipal Airport;Santa Fe, New Mexico;USA
d561bbd7-a147-4c70-97b2-1649d73bc801;SAN;KSAN;San Diego Intl Airport;San Diego, California;USA
7f30275c-f379-46d4-a287-ead2d9e98023;SAT;KSAT;San Antonio Intl Airport;San Antonio, Texas;USA
7295a5c4-f506-445f-9dca-cdf06d7e121f;SAV;KSAV;Savannah/Hilton Head Intl Airport;Savannah, Georgia;USA
2c84df73-1b17-46b3-ba6f-6dfbb38d50cb;SBA;KSBA;Santa Barbara Municipal Airport;Santa Barbara, California;USA
f24925b7-2cb3-4ae6-ac0a-caccdce9f7a7;SBN;KSBN;South Bend Regional Airport;South Bend, Indiana;USA
784128d9-0c96-49a5-8d25-eb2cc6b30616;SBP;KSBP;San Luis Obispo County Regional Airport (McChesney Field);San Luis Obispo, California;USA
a6556f4b-4706-4d82-af8b-4b5664718091;SBY;KSBY;Salisbury-Ocean City Wicomico Regional Airport;Salisbury, Maryland;USA
5d7a734b-db9a-4a0b-a133-35eb3388879d;SCC;PASC;Deadhorse Airport;Deadhorse, Alaska;USA
1467b1f4-7759-44b1-8788-14eb7c4b9e44;SCK;KSCK;Stockton Metropolitan Airport;Stockton, California;USA
cb61b681-2cda-44b8-b115-bebb941573f3;SDF;KSDF;Louisville Intl Airport (Standiford Field);Louisville, Kentucky;USA
e0b22e07-ea44-4c8a-a8aa-e56cfa9fe846;SDY;KSDY;Sidney-Richland Municipal Airport;Sidney, Montana;USA
185dfbc3-3b3e-4591-82b3-e0baa08e57d3;SEA;KSEA;Seattle-Tacoma Intl Airport;Seattle-Tacoma, Washington;USA
f03a9cc7-3ef5-4830-bcad-30ed242eca76;SFB;KSFB;Orlando Sanford Intl Airport;Orlando, Florida;USA
8548b4dd-8ace-4462-bc7c-ca2a23d46899;SFO;KSFO;San Francisco Intl Airport;San Francisco, California;USA
d1ffe17b-0fea-479e-9d70-b1b329280b75;SGF;KSGF;Springfield-Branson Regional Airport;Springfield, Missouri;USA
f6d21b36-8be6-4cb3-bee8-54ef75cc9f8f;SGU;KSGU;St. George Municipal Airport;St. George, Utah;USA
9123d881-316d-4842-b5cf-48ea75feddbe;SHR;KSHR;Sheridan County Airport;Sheridan, Wyoming;USA
adb9a3cf-f11d-4d0e-9db9-1cf35767086a;SHV;KSHV;Shreveport Regional Airport;Shreveport, Louisiana;USA
fd35a8e5-1344-481e-802e-89dd094246ef;SIT;PASI;Sitka Rocky Gutierrez Airport;Sitka, Alaska;USA
a1c7f1e6-27d1-4902-91b0-8d83f8cd4acb;SJC;KSJC;Norman Y. Mineta San Jos;San Jose, California;USA
ede2a8e3-6cc7-473f-b0c2-3df14f776f83;SJT;KSJT;San Angelo Regional Airport (Mathis Field);San Angelo, Texas;USA
