ID;airlineCode;airlineDescription;
add7853c-cfca-47bf-bb87-7a981a6f367a;N8;Hong Kong Airlines;
ff7b20d4-edae-4ec4-bf51-32fd68452939;FK;Africa West;
d51e21f4-c31d-46f2-b726-2e324136ce9d;EV;Atlantic Southeast Airlines;
ccf4b9e3-e3b5-4aa9-b80b-e7f5c6f17c0e;MY;MASAir;
8e93d437-8094-478b-b9e6-b310d82f6660;VV;Aerosvit;
ad45f737-0476-4fa4-938e-5e6f5e000a05;Y8;Yangtze River Express Airlines;
5f197e8b-959a-4668-ba80-dae64bd3c051;6R;AeroUnion;
7e1afce0-afff-4de6-8059-7d3845bb3f0f;3U;Sichuan Airlines;
b4a0085c-2243-448a-abe2-327b7dd2effc;HU;Hainan Airlines;
5b91bbf8-4e24-489c-94b8-fcf001885f58;DE;Condor Flugdienst;
f806c713-2626-4d98-8c72-832e196808cb;OH;Comair;
55596b6b-a1e6-4a73-a8a1-9e890571212f;B1;TAB Cargo;
eab0eda7-2049-4f79-8168-000ac26a363f;QN;Air Armenia;
1d083c9a-2763-41e4-91cd-6f0b6f6998ac;UZ;Buraq Air Transport ;
5f62df9c-9d95-4292-8c93-d4b8c5399500;VS;Virgin Atlantic;
2fed520a-3ff7-4cde-84e7-182458ebf238;KZ;Nippon Cargo Airlines;
9a906212-72fb-4358-b8d4-9441c3bc347a;JJ;TAM Brazilian Airlines;
4666d93e-146d-40bd-a43f-f78aad189f68;7I;Insel Air Cargo;
8ec1fa72-0091-4288-9299-25a265ee3895;OV;Estonian Air;
fe646b47-5808-40a6-bf9d-888a86056542;QO;Aeromexpress Cargo;
72c21fb2-c3ef-49bc-943c-870590c00a3e;OZ;Asiana Airlines;
d1a75379-3c14-4ee4-a5be-81c018a20e87;IJ;Great Wall Airlines;
fb48fb4d-36e9-4715-8264-fa1d7c367362;UX;Air Europa Cargo;
a8a9dd5a-9791-4fcd-83c0-f4c9d09af2b4;BG;Biman Bangladesh;
ec262ccb-c178-43d3-b9c3-99b2297259b6;CA;Air China;
